link_post,total_likes,total_comments
https://www.instagram.com/reel/CgRMK4zJk3H/,70.0,1.0
https://www.instagram.com/p/CgDpsOsJBRu/,34.0,1.0
https://www.instagram.com/p/CgCRFLcJvPS/,31.0,0.0
https://www.instagram.com/p/CftSXfQl-sq/,39.0,0.0
https://www.instagram.com/p/CfjH1oLlAfz/,31.0,0.0
https://www.instagram.com/p/CfgCr-BFdeD/,17.0,0.0
https://www.instagram.com/p/CfeBUcrF6yy/,33.0,0.0
https://www.instagram.com/reel/CfYJOyPl8li/,745.0,0.0
https://www.instagram.com/p/CfQrU4dlY27/,44.0,0.0
https://www.instagram.com/reel/CfOK0tbF010/,44.0,8.0
https://www.instagram.com/p/CfJUNh5lo1p/,28.0,0.0
https://www.instagram.com/p/CfEDCkSlPS-/,41.0,5.0
https://www.instagram.com/p/CfBstFaFh4t/,53.0,4.0
https://www.instagram.com/reel/CctccMsvLmn/,51.0,0.0
https://www.instagram.com/reel/CZ8m_XQlxNP/,63.0,4.0
https://www.instagram.com/p/CYkYA_Zh61Q/,121.0,2.0
https://www.instagram.com/p/CVWTQl6hKnI/,39.0,0.0
https://www.instagram.com/p/BigJIqdhfjk/,91.0,2.0
https://www.instagram.com/p/BgXhUwmAvmY/,55.0,3.0
https://www.instagram.com/p/BgAo-NnlbzE/,31.0,0.0
https://www.instagram.com/p/Be-QQlCl53_/,53.0,0.0
https://www.instagram.com/p/Bd7jS88lflm/,64.0,0.0
https://www.instagram.com/p/Bd1MZxSFjFI/,27.0,0.0
https://www.instagram.com/p/Bdu3E0NlUcV/,31.0,2.0
https://www.instagram.com/p/Bdus6GblMpK/,23.0,0.0
https://www.instagram.com/p/BdtlNryFtTJ/,31.0,0.0
https://www.instagram.com/p/Bdtk5PbFyUd/,23.0,0.0
https://www.instagram.com/p/BdtkRUnFRpv/,15.0,0.0
https://www.instagram.com/p/BdtjyVgF1XG/,30.0,0.0
https://www.instagram.com/p/BdtjgunlJya/,50.0,1.0
https://www.instagram.com/p/Bdti3SEFbnQ/,40.0,1.0
https://www.instagram.com/p/BRKCLkcFKIi/,17.0,0.0
https://www.instagram.com/p/BQNr8CzjZs4/,16.0,0.0
https://www.instagram.com/p/BQMsNlHjvya/,20.0,2.0
https://www.instagram.com/p/BQMr59Tja9R/,18.0,1.0
